year,weekNumber,location,product,price_per_kg,posting_date,spain_dgroup,spain_dsubgroup,spain_dtype,spain_dsubtype,spain_total_damage,spain_ppl_affected,spain_dcount,spain_no_disaster,egypt_dgroup,egypt_dsubgroup,egypt_dtype,egypt_dsubtype,egypt_total_damage,egypt_ppl_affected,egypt_dcount,egypt_no_disaster,south africa_dgroup,south africa_dsubgroup,south africa_dtype,south africa_dsubtype,south africa_total_damage,south africa_ppl_affected,south africa_dcount,south africa_no_disaster,egypt_max_temp,egypt_min_temp,egypt_precipitation,egypt_rain,egypt_wind_speed,egypt_sunshine,south africa_max_temp,south africa_min_temp,south africa_precipitation,south africa_rain,south africa_wind_speed,south africa_sunshine,spain_max_temp,spain_min_temp,spain_precipitation,spain_rain,spain_wind_speed,spain_sunshine,egypt_tariff,sa_tariff
2022,33,European Union,mandarins,1.2,2022-08-08,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,27.2525641025641,14.567582417582416,245.7,0.22499999999999998,20.044688644688645,37388.465036630034,24.999511599511596,14.857997557997559,2253.4,2.7514041514041514,17.143711843711845,33717.93605616606,22.43976975405547,12.975039246467817,2664.6,1.3943485086342229,18.725536368393513,35215.08651491366,0.0,0.0
2022,33,European Union,oranges,0.714,2022-08-08,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,27.2525641025641,14.567582417582416,245.7,0.22499999999999998,20.044688644688645,37388.465036630034,24.999511599511596,14.857997557997559,2253.4,2.7514041514041514,17.143711843711845,33717.93605616606,22.43976975405547,12.975039246467817,2664.6,1.3943485086342229,18.725536368393513,35215.08651491366,0.0641620829701423,0.2194561809301376
2022,34,European Union,lemons,1.0943,2022-08-15,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,27.442124542124542,14.737271062271063,245.7,0.22499999999999998,20.18296703296703,37649.622554945054,24.913431013431012,14.705372405372406,2224.3,2.715873015873016,17.063980463980464,33646.71874236874,22.79110413396128,13.326635269492412,2670.7,1.3975405546834117,18.867608581894295,35524.39896389325,0.0493570789694786,0.10421422123909
2022,34,European Union,oranges,0.7502,2022-08-15,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,27.442124542124542,14.737271062271063,245.7,0.22499999999999998,20.18296703296703,37649.622554945054,24.913431013431012,14.705372405372406,2224.3,2.715873015873016,17.063980463980464,33646.71874236874,22.79110413396128,13.326635269492412,2670.7,1.3975405546834117,18.867608581894295,35524.39896389325,0.0641620829701423,0.2194561809301376
2022,35,European Union,lemons,1.0899,2022-08-22,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,27.746153846153845,14.92518315018315,203.2,0.18608058608058606,20.27692307692308,37974.451657509155,24.83052503052503,14.505006105006105,2148.4,2.623199023199023,17.053724053724054,33824.90434676435,23.151543694400836,13.606855049712193,2556.6,1.3378335949764522,18.93605442176871,36001.3041025641,0.0493570789694786,0.10421422123909
2022,35,European Union,oranges,0.8186,2022-08-22,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,27.746153846153845,14.92518315018315,203.2,0.18608058608058606,20.27692307692308,37974.451657509155,24.83052503052503,14.505006105006105,2148.4,2.623199023199023,17.053724053724054,33824.90434676435,23.151543694400836,13.606855049712193,2556.6,1.3378335949764522,18.93605442176871,36001.3041025641,0.0641620829701423,0.2194561809301376
2022,36,European Union,lemons,1.0745,2022-08-29,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,28.02930402930403,15.182051282051281,202.5,0.18543956043956045,20.550091575091574,38230.841703296705,24.856043956043955,14.357387057387058,2082.8,2.5431013431013434,16.97069597069597,34094.286691086694,23.577184720041863,13.999529042386184,2438.8,1.2761904761904763,18.856253270538986,36374.92415489273,0.0493570789694786,0.10421422123909
2022,36,European Union,oranges,0.867,2022-08-29,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,28.02930402930403,15.182051282051281,202.5,0.18543956043956045,20.550091575091574,38230.841703296705,24.856043956043955,14.357387057387058,2082.8,2.5431013431013434,16.97069597069597,34094.286691086694,23.577184720041863,13.999529042386184,2438.8,1.2761904761904763,18.856253270538986,36374.92415489273,0.0641620829701423,0.2194561809301376
2022,37,European Union,lemons,1.0658,2022-09-05,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,28.28339416058394,15.423631386861313,202.5,0.18476277372262773,20.6867700729927,38520.019242700735,24.729805352798056,14.167396593673967,2049.0,2.4927007299270074,16.976277372262775,33964.81692214112,23.931856100104277,14.35312825860271,2443.3,1.273879040667362,18.851147028154326,36610.42607924922,0.0493570789694786,0.10421422123909
2022,37,European Union,oranges,0.5627,2022-09-05,,,,,,,,,,,,,,,,,Natural,Hydrological,Flood,Flood (General),3500000.0,142290.0,1,6.0,28.28339416058394,15.423631386861313,202.5,0.18476277372262773,20.6867700729927,38520.019242700735,24.729805352798056,14.167396593673967,2049.0,2.4927007299270074,16.976277372262775,33964.81692214112,23.931856100104277,14.35312825860271,2443.3,1.273879040667362,18.851147028154326,36610.42607924922,0.0641620829701423,0.2194561809301376
