year,week,product,price_per_kg,posting_date,spain_dsubgroup,spain_ppl_affected,spain_dcount,spain_no_disaster,egypt_dsubgroup,egypt_ppl_affected,egypt_dcount,egypt_no_disaster,south africa_dsubgroup,south africa_ppl_affected,south africa_dcount,south africa_no_disaster,egypt_tem,egypt_rain,egypt_sunshine,sa_tem,south africa_rain,south africa_sunshine,spain_tem,spain_rain,spain_sunshine,egypt_tariff,sa_tariff,lag_1m,lag_2m,lag_3m,lag_4m,lag_5m,lag_6m,rolling_mean_8w,rolling_std_8w,rolling_mode_8w
2023,11,lemons,0.988,2023-03-06,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,23.254532967032965,0.1556776556776556,37886.01961538462,20.197863247863246,2.4101343101343105,34456.55142857143,20.10371533228676,0.8169544740973312,35247.25026164312,0.0588,0.064,1.0837,1.1588,1.1983,1.2368,1.2957,1.3259,1.1396,0.0371094327631129,1.0837
2023,11,mandarins,1.3008,2023-03-06,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,23.254532967032965,0.1556776556776556,37886.01961538462,20.197863247863246,2.4101343101343105,34456.55142857143,20.10371533228676,0.8169544740973312,35247.25026164312,0.0,0.0,1.2208,1.2082,1.0964,0.9466,0.7328,0.9061,1.2029874999999999,0.018357112892554792,1.1636
2023,12,mandarins,1.313,2023-03-13,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.965247252747254,0.1557692307692307,37660.449358974365,20.425824175824175,2.484004884004884,34547.38995115995,19.892961800104658,0.8352694924123496,34863.99822082679,0.0,0.0,1.2185,1.2252,1.1636,0.9876,0.7393,0.8637,1.2098499999999999,0.011227087779117118,1.1903
2023,12,lemons,0.9921,2023-03-13,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.965247252747254,0.1557692307692307,37660.449358974365,20.425824175824175,2.484004884004884,34547.38995115995,19.892961800104658,0.8352694924123496,34863.99822082679,0.0588,0.064,1.0539,1.131,1.1959,1.2195,1.2518,1.3031,1.12185,0.03979820975873158,1.0539
2023,12,oranges,0.97422,2023-03-13,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.965247252747254,0.1557692307692307,37660.449358974365,20.425824175824175,2.484004884004884,34547.38995115995,19.892961800104658,0.8352694924123496,34863.99822082679,0.0,0.043,0.944075,0.91945,0.9076,0.9009,0.84785,0.6094,0.9149031249999999,0.0296685556331847,0.883
2023,13,mandarins,1.2707,2023-03-20,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.70448717948718,0.1771978021978022,37428.27762820513,20.636996336996333,2.5043956043956044,34706.80896214896,19.599738356881215,0.8427001569858713,34598.8187493459,0.0,0.0,1.266,1.214,1.1903,1.1514,0.7744,0.8129,1.2193125,0.019566197733591494,1.1981
2023,13,oranges,0.97224,2023-03-20,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.70448717948718,0.1771978021978022,37428.27762820513,20.636996336996333,2.5043956043956044,34706.80896214896,19.599738356881215,0.8427001569858713,34598.8187493459,0.0,0.043,0.9514,0.890575,0.9744,0.8167,0.771,0.5957,0.912028125,0.024412610206804495,0.883
2023,13,lemons,0.9896,2023-03-20,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.70448717948718,0.1771978021978022,37428.27762820513,20.636996336996333,2.5043956043956044,34706.80896214896,19.599738356881215,0.8427001569858713,34598.8187493459,0.0588,0.064,1.056,1.1163,1.172,1.2175,1.2374,1.3031,1.10735,0.040016215463234396,1.0539
2023,14,mandarins,1.2237,2023-03-27,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.464468864468863,0.1934065934065933,37138.17702380953,20.842735042735043,2.5006105006105006,34917.071623931624,19.41122448979592,0.8336996336996337,34388.08311355311,0.0,0.0,1.1946,1.2037,1.1981,1.1053,1.2053,0.7781,1.2188750000000002,0.020068305234872224,1.1946
2023,14,oranges,0.95976,2023-03-27,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.464468864468863,0.1934065934065933,37138.17702380953,20.842735042735043,2.5006105006105006,34917.071623931624,19.41122448979592,0.8336996336996337,34388.08311355311,0.0,0.043,0.950175,0.884475,0.883,0.9345,0.75715,0.5957,0.9204249999999999,0.024536442921703216,0.884475
2023,14,lemons,0.967,2023-03-27,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.464468864468863,0.1934065934065933,37138.17702380953,20.842735042735043,2.5006105006105006,34917.071623931624,19.41122448979592,0.8336996336996337,34388.08311355311,0.0588,0.064,0.9982,1.0943,1.1648,1.2192,1.2411,1.3079,1.086525,0.04737372029933897,0.9982
2023,15,mandarins,1.1968,2023-04-03,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.207618613138685,0.1926094890510948,36985.88055656935,21.006265206812653,2.515450121654501,34907.837299270075,19.28063086548488,0.8237226277372264,34195.32509384776,0.0,0.0,1.3008,1.2208,1.2082,1.0964,0.9466,0.7328,1.2304499999999998,0.03306773351773596,1.1946
2023,15,oranges,0.96796,2023-04-03,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.207618613138685,0.1926094890510948,36985.88055656935,21.006265206812653,2.515450121654501,34907.837299270075,19.28063086548488,0.8237226277372264,34195.32509384776,0.0,0.043,0.975275,0.905575,0.917675,0.9426666666666668,0.7016333333333332,0.5957,0.9276249999999999,0.03041902416662967,0.884475
2023,15,lemons,0.9503,2023-04-03,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.207618613138685,0.1926094890510948,36985.88055656935,21.006265206812653,2.515450121654501,34907.837299270075,19.28063086548488,0.8237226277372264,34195.32509384776,0.0588,0.064,0.988,1.0837,1.1588,1.1983,1.2368,1.2957,1.065175,0.048465290414893857,0.988
2023,16,mandarins,1.229,2023-04-10,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.020483576642334,0.1923357664233576,36770.68911496351,21.13412408759124,2.5335766423357664,35021.12306569343,19.016110531803964,0.7831074035453598,34090.87487486965,0.0,0.0,1.313,1.2185,1.2252,1.1636,0.9876,0.7393,1.241425,0.04267776792429517,1.1946
2023,16,oranges,0.9884,2023-04-10,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.020483576642334,0.1923357664233576,36770.68911496351,21.13412408759124,2.5335766423357664,35021.12306569343,19.016110531803964,0.7831074035453598,34090.87487486965,0.0,0.043,0.97422,0.944075,0.91945,0.9076,0.9009,0.84785,0.93447125,0.033785778327389465,0.884475
2023,16,lemons,0.9502,2023-04-10,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,22.020483576642334,0.1923357664233576,36770.68911496351,21.13412408759124,2.5335766423357664,35021.12306569343,19.016110531803964,0.7831074035453598,34090.87487486965,0.0588,0.064,0.9921,1.0539,1.131,1.1959,1.2195,1.2518,1.0478125,0.04661873114693282,0.988
2023,17,lemons,1.0996,2023-04-17,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.794343065693432,0.202463503649635,36633.22693430657,21.250243309002435,2.548661800486618,34987.11412408759,18.764937434827946,0.7840458811261731,33937.01654848801,0.0588,0.064,0.9896,1.056,1.1163,1.172,1.2175,1.2374,1.031975,0.041949366800942335,0.988
2023,17,oranges,1.068425,2023-04-17,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.794343065693432,0.202463503649635,36633.22693430657,21.250243309002435,2.548661800486618,34987.11412408759,18.764937434827946,0.7840458811261731,33937.01654848801,0.0,0.043,0.97224,0.9514,0.890575,0.9744,0.8167,0.771,0.944679375,0.03122054956650146,0.884475
2023,17,mandarins,1.2489,2023-04-17,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.794343065693432,0.202463503649635,36633.22693430657,21.250243309002435,2.548661800486618,34987.11412408759,18.764937434827946,0.7840458811261731,33937.01654848801,0.0,0.0,1.2707,1.266,1.214,1.1903,1.1514,0.7744,1.2485125,0.04224063320725669,1.1946
2023,18,lemons,1.1226,2023-04-24,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.611861313868616,0.2026459854014598,36495.69902372263,21.377189781021897,2.543065693430657,35064.61197080292,18.497679874869654,0.7869655891553702,33804.45947340981,0.0588,0.064,0.967,0.9982,1.0943,1.1648,1.2192,1.2411,1.0160624999999999,0.03935365095832918,0.967
2023,18,oranges,1.0365,2023-04-24,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.611861313868616,0.2026459854014598,36495.69902372263,21.377189781021897,2.543065693430657,35064.61197080292,18.497679874869654,0.7869655891553702,33804.45947340981,0.0,0.043,0.95976,0.950175,0.884475,0.883,0.9345,0.75715,0.95409,0.021483020330018764,0.905575
2023,18,mandarins,1.15,2023-04-24,Nothing,0.0,0.0,0.0,Nothing,0.0,0.0,0.0,Hydrological,1000.0,3.0,3.0,21.611861313868616,0.2026459854014598,36495.69902372263,21.377189781021897,2.543065693430657,35064.61197080292,18.497679874869654,0.7869655891553702,33804.45947340981,0.0,0.0,1.2237,1.1946,1.2037,1.1981,1.1053,1.2053,1.2510125,0.04004945185330252,1.1946
