year,weekNumber,location,price_per_kg,product,variety,description
2006,1,European Union,0.602,oranges,Salustiana - Cat. I - Cal. 2-4,European Union - oranges - Salustiana - Cat. I - Cal. 2-4
2006,1,European Union,0.6191,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2006,1,European Union,0.5347,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2006,1,Greece,0.2386,oranges,navel,Greece - oranges - navel
2006,1,Greece,0.2786,clementines,Cat. I - Cal. 1x-2,Greece - clementines - Cat. I - Cal. 1x-2
2006,1,Italy,0.615,oranges,Tarocco - Cat. I - Cal. 2-4,Italy - oranges - Tarocco - Cat. I - Cal. 2-4
2006,1,Italy,0.57,lemons,Cat. I - Cal. 1-3,Italy - lemons - Cat. I - Cal. 1-3
2006,1,Italy,0.465,clementines,Cat. I - Cal. 1x-2,Italy - clementines - Cat. I - Cal. 1x-2
2006,1,Italy,0.5292,mandarins,Cat. I - Cal. 1x-2,Italy - mandarins - Cat. I - Cal. 1x-2
2006,1,Spain,0.602,oranges,Salustiana - Cat. I - Cal. 2-4,Spain - oranges - Salustiana - Cat. I - Cal. 2-4
2006,1,Spain,0.4339,oranges,navel,Spain - oranges - navel
2006,1,Spain,0.6483,lemons,Cat. I - Cal. 1-3,Spain - lemons - Cat. I - Cal. 1-3
2006,1,Spain,0.5837,mandarins,Cat. I - Cal. 1x-2,Spain - mandarins - Cat. I - Cal. 1x-2
2006,1,Spain,0.5678,clementines,Cat. I - Cal. 1x-2,Spain - clementines - Cat. I - Cal. 1x-2
2005,0,European Union,1.4118,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,52,European Union,1.4118,mandarins,Cat. I - Cal. 1x-2,European Union - mandarins - Cat. I - Cal. 1x-2
2005,0,European Union,0.2329,oranges,navel,European Union - oranges - navel
2005,52,European Union,0.2771,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,52,European Union,0.5021,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2005,0,European Union,0.2771,clementines,Cat. I - Cal. 1x-2,European Union - clementines - Cat. I - Cal. 1x-2
2005,0,European Union,0.5021,lemons,Cat. I - Cal. 1-3,European Union - lemons - Cat. I - Cal. 1-3
2005,52,European Union,0.2329,oranges,navel,European Union - oranges - navel
2005,52,Greece,0.2329,oranges,navel,Greece - oranges - navel
2005,52,Greece,0.2771,clementines,Cat. I - Cal. 1x-2,Greece - clementines - Cat. I - Cal. 1x-2
2005,0,Greece,0.2771,clementines,Cat. I - Cal. 1x-2,Greece - clementines - Cat. I - Cal. 1x-2
